PLAYER_ID,PLAYER_NAME,GAMES_PLAYED,GAMES_AVG_SCORE,GAMES_MED_SCORE,GAMES_SCORE_STD_DEV
62097f1950ff4f0001cdc748,PyloteD'Avion,1,3662,3662,
62501808475510c8f5f4ef79,Tom,20,11770.05,12122.5,3528.844428421293
62615ba79810147e10f029ea,𝓝𝓲𝓰𝓱𝓽𝓰𝓸𝓭,1,5244,5244,
62bfd10dea6140a9ef5f3224,Program,40,13193,12814.5,3334.116224728826
62c0257a2e7b083b8fb3ffdf,yark,29,15857.068965517241,16273,2414.2864370244056
62d17b25f827cbfd7205c25d,deshawn,20,15827.7,15893.5,3171.416245149791
62e7791e257a6510556a1a03,Bokai𝋢𝋯𝋫𝋡𝋩,2,10997.5,10997.5,826.6081296479003
62f0c9a9822a3f816d659d84,Adams,1,7584,7584,
633102d69d4a5044970cce21,Elcu,7,12334.285714285714,12973,3486.288140702085
6376f2fd270414a1000e1fbf,bobasucker,40,12823.875,13004.5,4153.731695716516
63890678411c174863e40d57,GeoTeacher,8,15498.625,16387,2976.866137400202
63b6e8ccb8148b72cafa0adb,KZT,60,16623.966666666667,16706.5,3780.032010446472
63bc59f483352dc1648f8e9a,nevergiveup.,11,16286.363636363636,15924,1566.9014008545655
63bcd8027039017494d42999,KANMURU,2,10200,10200,612.3544725075502
63cffe929512ebc734808b0b,Rylleon,40,13974.95,13289.5,4053.108436743335
63e223415109acb72e8c3318,GabrielGeoo,47,12580.787234042553,12534,3233.7292712903472
6407f630fd61426c650d8579,jkwon,38,10926.578947368422,10700.5,3762.508338861191
642548987a0ec1cc8ffe5698,insomnia (5kftw),1,7816,7816,
6460e8bfec20ce42ae0b90bb,Spirit Donk,11,14916.181818181818,16581,3792.910228307546
64899fdf6552c09cf38d9d8e,豆豆冖,40,14567.7,14776,4081.1184741440675
64b2b2afd22a6256877948e5,constella,1,2324,2324,
65699a3d8312d2834b4eed93,Elements,11,11110.727272727272,11677,3748.357106786919
662d0189162adfc26f7751ac,Looks Like Something I Luzon,20,13139.35,13487,2608.005368092635
