PLAYER_ID,PLAYER_NAME,OVERALL_TOTAL_SCORE,OVERALL_ROUNDS_PLAYED,OVERALL_GAMES_PLAYED,OVERALL_ACCURACY,OVERALL_AVERAGE_GAME_SCORE,OVERALL_HIGHEST_HEDGE_STREAK,OVERALL_AVERAGE_HEDGE_STREAK,OVERALL_MEDIAN_GAME_SCORE,OVERALL_MEDIAN_ROUND_SCORE,NM_TOTAL_SCORE,NM_ROUNDS_PLAYED,NM_GAMES_PLAYED,NM_ACCURACY,NM_HIGHEST_HEDGE_STREAK,NM_AVERAGE_HEDGE_STREAK,NM_AVG_GAME_SCORE,NM_MEDIAN_GAME_SCORE,NMPZ_TOTAL_SCORE,NMPZ_ROUNDS_PLAYED,NMPZ_GAMES_PLAYED,NMPZ_ACCURACY,NMPZ_HIGHEST_HEDGE_STREAK,NMPZ_AVERAGE_HEDGE_STREAK,NMPZ_AVG_GAME_SCORE,NMPZ_MEDIAN_GAME_SCORE
5ddd2840db02e1948493a2a0,Illusion,4857809,1250,250,0.77724944,19431,12,2.14,19860,4345.5,3737086,950,190,0.786754947368421,12,2.33,19668.873684210525,20032.5,1120723,300,60,0.7471486666666667,5,1.47,18678.716666666667,18906.5
5de7a59044d2a42f78156b33,しいな,2570685,800,160,0.64267125,16066,2,1.14,16308,3685.5,2234824,675,135,0.662170074074074,2,1.14,16554.251851851852,16873,335861,125,25,0.5373776,0,0,13434.44,13554
5e22476fdba510714ce478df,Melting Ice,651581,215,43,0.6061218604651163,15153,1,1,15958,3430,634737,210,42,0.6045114285714286,1,1,15112.785714285714,15871.5,16844,5,1,0.67376,0,0,16844,16844
5e2e983722bbda85a40e9009,Eamonn,3182679,1060,212,0.6005054716981132,15012,3,1.15,15101,3359.5,2342003,770,154,0.6083124675324675,3,1.2,15207.811688311689,15464.5,840676,290,58,0.5797765517241379,1,1,14494.413793103447,14665
5e3b0e14dba5103fdccf2e4e,lemontree,2235039,1000,200,0.4470078,11175,1,1,11235.5,2105.5,1802657,800,160,0.45066425,1,1,11266.60625,11206.5,432382,200,40,0.432382,0,0,10809.55,11798.5
5e62fc4f8fd6cf1b0056adaa,PenRaiser_SB_32,118074,45,9,0.5247733333333333,13119,1,1,12235,3082,71468,25,5,0.571744,1,1,14293.6,12661,46606,20,4,0.46606,0,0,11651.5,11183.5
5e6bd352b3ec1786bc33f817,❤GeoPsique❤,63377,30,6,0.42251333333333335,10562,0,0,10280.5,1850.5,63377,30,6,0.42251333333333335,0,0,10562.833333333334,10280.5,,,,,,,,
5e7054fd2ad6cf16ec368ce1,dev,543917,200,40,0.543917,13597,0,0,13544,3042,281325,100,20,0.56265,0,0,14066.25,13644.5,262592,100,20,0.525184,0,0,13129.6,12994
5e8e59292ad6cf212829d2bb,Happy Birthday,357168,175,35,0.408192,10204,0,0,10413,2018,357168,175,35,0.408192,0,0,10204.8,10413,,,,,,,,
5e8f73b22ad6cf6e8851b0ca,Tonito,1869794,640,128,0.584310625,14607,3,1.18,14973,3127,1522635,495,99,0.6152060606060606,3,1.2,15380.151515151516,16294,347159,145,29,0.47884,1,1,11971,11371
5e9764acd502e1472c1b694d,Alphy,202868,100,20,0.405736,10143,0,0,8771.5,2183.5,202868,100,20,0.405736,0,0,10143.4,8771.5,,,,,,,,
5eb8f59b318e46ab803dcba4,ᚱᚮᛐᛍᚴᛁ,60867,45,9,0.27052,6763,0,0,7230,946,60867,45,9,0.27052,0,0,6763,7230,,,,,,,,
5ec26de5a789c45a9c13cf3c,sp4ghet,159596,50,10,0.638384,15959,1,1,15891,3599,159596,50,10,0.638384,1,1,15959.6,15891,,,,,,,,
5eccd6d68d6ade72cc836cb8,Šťýдēňț,136789,60,12,0.45596333333333333,11399,0,0,10522.5,2257.5,136789,60,12,0.45596333333333333,0,0,11399.083333333334,10522.5,,,,,,,,
5ed51eab282ad28b94ff9efc,Salex,12530,5,1,0.5012,12530,0,0,12530,2781,,,,,,,,,12530,5,1,0.5012,0,0,12530,12530
5ed7d66d5d34e779bccc6590,kirilka,34789,10,2,0.69578,17394,0,0,17394.5,4044,34789,10,2,0.69578,0,0,17394.5,17394.5,,,,,,,,
5ee933f15426a914442197e4,Jeif,1183017,310,62,0.7632367741935484,19080,5,1.87,19267,4206.5,757999,195,39,0.7774348717948718,6,1.8,19435.871794871793,19514,425018,115,23,0.7391617391304348,3,1.67,18479.043478260868,19026
5eedb3d29d57a84ae09c4290,Hydro,100462,55,11,0.36531636363636366,9132,0,0,7892,1626,100462,55,11,0.36531636363636366,0,0,9132.90909090909,7892,,,,,,,,
5ef35fd819612a2940d22de2,Mich,54322,25,5,0.434576,10864,0,0,10335,2038,,,,,,,,,54322,25,5,0.434576,0,0,10864.4,10335
5f07412b8551644f80314987,hyacinthsj,775322,260,52,0.5964015384615384,14910,1,1,15115.5,3317,667889,220,44,0.6071718181818182,1,1,15179.295454545454,15488.5,107433,40,8,0.537165,0,0,13429.125,13375
5f172e581874328b38c066f7,flipster22,1160157,410,82,0.5659302439024391,14148,1,1,14237.5,3152,622998,210,42,0.5933314285714286,1,1,14833.285714285714,14983.5,537159,200,40,0.537159,1,1,13428.975,13748
5f29c8819762af0001d89a97,Capi,69493,25,5,0.555944,13898,0,0,14403,3345,69493,25,5,0.555944,0,0,13898.6,14403,,,,,,,,
5f3c49af588cd80001d51f51,bones,1499067,510,102,0.5878694117647059,14696,1,1,14662.5,3317,983389,310,62,0.6344445161290323,1,1,15861.112903225807,16260.5,515678,200,40,0.515678,1,1,12891.95,12787.5
5f66872ebcfad7000142d950,Phorcys,3076066,1180,236,0.5213671186440678,13034,1,1,13071.5,2766,2326024,880,176,0.5286418181818182,1,1,13216.045454545454,13381,750042,300,60,0.500028,1,1,12500.7,12570.5
5f7ddfaa5e57b3000189a24e,swangambit,172596,65,13,0.5310646153846154,13276,0,0,13431,2853,,,,,,,,,172596,65,13,0.5310646153846154,0,0,13276.615384615385,13431
5f85ce00fc3aec0001758b8d,Xander,1244746,440,88,0.5657936363636363,14144,1,1,13825.5,3198.5,907519,300,60,0.6050126666666666,1,1,15125.316666666668,14655.5,337227,140,28,0.48175285714285715,0,0,12043.82142857143,11611
5f903357aae2c100010dbdd4,nestor,16457,5,1,0.65828,16457,0,0,16457,3352,16457,5,1,0.65828,0,0,16457,16457,,,,,,,,
5f91a2db3d05310001d589c3,Daan,245238,150,30,0.326984,8174,0,0,8152.5,1254.5,157181,100,20,0.314362,0,0,7859.05,7873.5,88057,50,10,0.352228,0,0,8805.7,9291
5f9adbbe6ca2e400010530f4,Pup,253791,200,40,0.253791,6344,0,0,6045.5,819.5,110013,100,20,0.220026,0,0,5500.65,5558,143778,100,20,0.287556,0,0,7188.9,6247.5
