PLAYER_ID,PLAYER_NAME,GAMES_PLAYED,GAMES_AVG_SCORE,GAMES_MED_SCORE,GAMES_SCORE_STD_DEV
6016ae33d48bd30001e71782,[TNT] Diablo,5,16853.6,17105,2831.7227971678303
601ab5166d405900012c6669,Matteo Kinkela,20,7517.25,7418,3357.321253618724
601f1d75228a5e00019741e1,davedavedave,87,14781.862068965518,14937,3204.060704793216
60254c17b8832e000134884b,jason543,32,13084.5,13223.5,3736.368691657717
602c2727cf4011000175b4ee,morica,48,12682.833333333334,13059,4054.748204266203
603b1b0d5cdb1b0001bbf19e,Moo,1,20822,20822,
603cd68ed3dc740001d9dc4b,devens,11,12319.272727272728,12356,1179.6630874957477
603e28ef0297940001b93db1,fatslump(washed),5,14026.6,14499,5080.03897622843
603ea83990c952000180974c,TabBluu.,21,16196.52380952381,15774,3264.1132026938035
60423e2590c952000182b4a0,Pigeon,86,16769.86046511628,17096,3125.263828863093
6053be97302f9500010c3c4c,marcel,4,8358.5,8046.5,3249.600590841896
6056fd798ddd1c00018baf23,Trabota,90,18474.844444444443,18827.5,2925.7869026981443
605b1842045b9e0001837397,brunooo_ooo,160,15011.675,14845,3379.219880386596
6060aef763c4b80001aae836,Jasper,39,9575.205128205129,10057,4074.8426963503757
6061d595010c4e000197240f,bakonysanchez,8,9736.375,9739.5,1642.485920792017
606402814f3a8e00016f860e,Dyll,10,10400,10484,4352.641496838442
606a0edba9cfc800017a0f46,S Ricciardi,5,10866.4,10097,3398.9807295717346
607334e1fec6f00001f676a2,hoki,4,11451,13099.5,3703.0256547855565
60806a19bafa9b000125bcc7,malfunctionn,44,12336.431818181818,11921.5,3701.6901545105043
608168d3f5fe530001aec797,kaiser,107,7892.383177570094,7312,3548.2818377349904
60859c21128efc0001559603,antidotess,20,15696.2,15377.5,3066.524090888575
6098f58ffac408000119da5a,Cassa,86,6860.116279069767,6713,3081.699855599179
60995f8f8eb3fe0001e057c2,Starc,35,12591.542857142857,12627,3867.7360302895545
60a55176895a250001d9e2d8,emshanoff,94,18676.44680851064,19146,2966.123901660212
60ab9a9195cb750001fb3b69,stepanartt,12,13703.333333333334,13248,3863.3768907524413
60b1162519261200015e3ca2,John Harvey Kellogg,2,16271,16271,3841.0040354053262
60c5dcc9dcd637000191fd5d,VishTheFish,3,6899.666666666667,7077,4007.9433628732827
60df18727b07ec0001e05ece,r1czz.,12,18078.416666666668,17417.5,2622.238356824185
