PLAYER_ID,PLAYER_NAME,OVERALL_TOTAL_SCORE,OVERALL_ROUNDS_PLAYED,OVERALL_GAMES_PLAYED,OVERALL_ACCURACY,OVERALL_AVERAGE_GAME_SCORE,OVERALL_HIGHEST_HEDGE_STREAK,OVERALL_AVERAGE_HEDGE_STREAK,OVERALL_MEDIAN_GAME_SCORE,OVERALL_AVG_ROUND_SCORE,OVERALL_MED_ROUND_SCORE,OVERALL_LOWEST_ROUND_SCORE,OVERALL_HIGHEST_ROUND_SCORE,OVERALL_LOWEST_GAME_SCORE,OVERALL_HIGHEST_GAME_SCORE,OVERALL_GAME_SCORE_STD_DEV,OVERALL_ROUND_SCORE_STD_DEV,TOP_FINISHES,TOP3_FINISHES,TOP_FINISH_RATE,TOP3_FINISH_RATE,NM_TOTAL_SCORE,NM_ROUNDS_PLAYED,NM_GAMES_PLAYED,NM_ACCURACY,NM_HIGHEST_HEDGE_STREAK,NM_AVERAGE_HEDGE_STREAK,NM_AVG_GAME_SCORE,NM_MEDIAN_GAME_SCORE,NM_AVG_ROUND_SCORE,NM_MED_ROUND_SCORE,NM_LOWEST_ROUND_SCORE,NM_HIGHEST_ROUND_SCORE,NM_LOWEST_GAME_SCORE,NM_HIGHEST_GAME_SCORE,NM_GAME_SCORE_STD_DEV,NM_ROUNDS_SCORE_STD_DEV,NM_TOP_FINISHES,NM_TOP3_FINISHES,NM_TOP_FINISH_RATE,NM_TOP3_FINISH_RATE,NMPZ_TOTAL_SCORE,NMPZ_ROUNDS_PLAYED,NMPZ_GAMES_PLAYED,NMPZ_ACCURACY,NMPZ_HIGHEST_HEDGE_STREAK,NMPZ_AVERAGE_HEDGE_STREAK,NMPZ_AVG_GAME_SCORE,NMPZ_MEDIAN_GAME_SCORE,NMPZ_AVG_ROUND_SCORE,NMPZ_MED_ROUND_SCORE,NMPZ_LOWEST_ROUND_SCORE,NMPZ_HIGHEST_ROUND_SCORE,NMPZ_LOWEST_GAME_SCORE,NMPZ_HIGHEST_GAME_SCORE,NMPZ_GAME_SCORE_STD_DEV,NMPZ_ROUNDS_SCORE_STD_DEV,NMPZ_TOP_FINISHES,NMPZ_TOP3_FINISHES,NMPZ_TOP_FINISH_RATE,NMPZ_TOP3_FINISH_RATE,TOTAL_TESTS,OVERALL_IMPROVEMENT,RECENT_IMPROVEMENT,RECENT_5_IMPROVEMENT,FIRST_TEST_NAME,LAST_TEST_NAME,OVERALL_ADJ_ACCURACY,NM_ADJ_ACCURACY,NMPZ_ADJ_ACCURACY
5aa25c6242305f89a0f9633a,qwwinkii,109878,50,10,0.439512,10987.8,0,0,10678,2197.56,2038.5,2,4819,6070,18539,3477.6361224256916,1611.0003103662023,0,0,0,0,21356,10,2,0.42712,0,0,10678,10678,2135.6,1822.5,43,4782,10649,10707,41.012193308819754,1921.5886656618268,0,0,0,0,88522,40,8,0.44261,0,0,11065.25,10406,2213.05,2038.5,2,4819,6070,18539,3938.88943739222,1551.5936968162766,0,0,0,0,2,-0.015490000000000004,-0.015490000000000004,,March 2024,April 2024,,,
5b4899f5b56fe41a1831bba4,Lennli,565593,200,40,0.565593,14139.825,0,0,13733.5,2827.965,2765.5,1,4999,9453,19282,2489.9066247552337,1469.0987032871549,0,2,0,0.05,282086,100,20,0.564172,0,0,14104.3,14022.5,2820.86,2669,5,4974,9919,19282,2491.173819708292,1438.0952680542412,0,1,0,0.05,283507,100,20,0.567014,0,0,14175.35,13733.5,2835.07,3098.5,1,4999,9453,18946,2552.834307196611,1506.6794615975887,0,1,0,0.05,2,0.002842000000000011,0.002842000000000011,,September 2023,March 2024,,,
5b51062a4010740f7cd91dd5,Blinky,153646,45,9,0.6828711111111111,17071.777777777777,1,1,17714,3414.3555555555554,3454,59,4999,12492,20181,2654.3170496381927,1396.461241853851,0,1,0,0.1111111111111111,133465,40,8,0.667325,0,0,16683.125,16836,3336.625,3255.5,59,4999,12492,19903,2549.1602538875427,1449.7627392094198,0,1,0,0.125,20181,5,1,0.80724,1,1,20181,20181,4036.2,4376,3232,4630,20181,20181,,643.9689433505315,0,0,0,0,3,0.1766399999999999,0.10319,,September 2023,March 2024,,,
5b7cfb7b602b2e3a94fbb968,𝘚𝘭𝘪𝘷𝘦𝘳,442525,165,33,0.5363939393939394,13409.848484848484,1,1,13204,2681.969696969697,3086,0,4994,4878,20974,4134.67955227488,1566.3575581584173,1,1,0.030303030303030304,0.030303030303030304,417747,155,31,0.5390283870967741,1,1,13475.709677419354,13204,2695.141935483871,3131,0,4994,4878,20974,4169.66605377457,1569.1061149584498,1,1,0.03225806451612903,0.03225806451612903,24778,10,2,0.49556,0,0,12389,12389,2477.8,2047.5,0,4540,8979,15799,4822.468247692254,1590.3807720165632,0,0,0,0,5,0.34248421052631584,0.14080000000000004,0.34248421052631584,October 2023,June 2024,,,
5b8413394ee03584bc721f0b,Bassman (Youtube),49578,30,6,0.33052,8263,0,0,8068,1652.6,1586.5,0,4633,6079,11063,2018.95121288257,1441.5172562269242,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,49578,30,6,0.33052,0,0,8263,8068,1652.6,1586.5,0,4633,6079,11063,2018.95121288257,1441.5172562269242,0,0,,,1,0,,,March 2024,March 2024,,,
5bf491faaac55b998458ed9a,mk,2089570,655,131,0.638036641221374,15950.91603053435,2,1.2,16250,3190.1832061068703,3611,0,4999,5471,22036,3238.8968801121164,1465.288367523608,1,6,0.007633587786259542,0.04580152671755725,1494966,455,91,0.6571279120879121,2,1.25,16428.197802197803,16825,3285.6395604395602,3677,0,4999,9581,22036,3088.80154752616,1424.101822202331,1,4,0.01098901098901099,0.04395604395604396,594604,200,40,0.594604,1,1,14865.1,14789.5,2973.02,3212,0,4945,5471,21534,3348.1986201538284,1536.5955876547348,0,2,0,0.02197802197802198,8,0.16856666666666664,0.17215666666666662,0.07678666666666667,November 2023,June 2024,,,0.6571444444444444
5c03eed1b5b94ba700403005,Finbarr,2088909,545,109,0.7665721100917431,19164.302752293577,5,1.81,19541,3832.860550458716,4491,0,5000,9895,24198,3434.0567846207787,1373.4183630634914,26,58,0.23853211009174313,0.5321100917431193,1713523,445,89,0.7701226966292135,5,1.74,19253.067415730337,19693,3850.613483146067,4512,0,5000,10415,24198,3394.902944120789,1357.7470309302835,21,47,0.23595505617977527,0.5280898876404494,375386,100,20,0.750772,3,2.33,18769.3,19289.5,3753.86,4371.5,3,5000,9895,23863,3667.514826145901,1445.5327737550608,5,11,0.056179775280898875,0.12359550561797752,5,0.028191999999999995,0.023905999999999983,0.028191999999999995,August 2023,January 2024,,,
5c04ec3b43196563803ba61f,V89,2895322,850,170,0.6812522352941176,17031.305882352943,3,1.23,17749,3406.2611764705885,3850,0,4999,5143,23753,3578.617610195311,1439.1268185952204,4,21,0.023529411764705882,0.12352941176470589,2518920,725,145,0.6948744827586207,3,1.26,17371.862068965518,18013,3474.3724137931035,3924,0,4999,5143,23753,3466.931640514419,1403.7645814024515,4,19,0.027586206896551724,0.1310344827586207,376402,125,25,0.6022432,1,1,15056.08,15379,3011.216,3351,1,4994,7275,21438,3646.4581445561666,1578.073509060969,0,2,0,0.013793103448275862,10,0.18333999999999995,0.09658199999999995,0.176848,August 2023,June 2024,0.7460174934725848,0.7603660030627871,
5c14f357ff3dc98d883d182c,[TNT] Kirania,3169656,1095,219,0.578932602739726,14473.315068493152,1,1,14443,2894.66301369863,3235,0,5000,4887,22335,3589.8310545205327,1548.034883327892,4,13,0.0182648401826484,0.0593607305936073,2075083,700,140,0.5928808571428571,1,1,14822.021428571428,14738,2964.404285714286,3241,0,5000,5329,22335,3440.7071947493587,1502.836318432583,1,5,0.007142857142857143,0.03571428571428571,835192,295,59,0.5662318644067796,1,1,14155.796610169491,14235,2831.159322033898,3305,0,4992,4887,21117,3710.995149552206,1597.3941279471387,3,8,0.02142857142857143,0.05714285714285714,11,-0.000664000000000109,-0.13175400000000004,-0.0643220000000001,August 2023,August 2024,0.6461723214285714,0.6547330158730159,0.625896992481203
5c44c39898004e833c65f405,D3rL30p4rd,67738,30,6,0.4515866666666667,11289.666666666666,0,0,12183.5,2257.9333333333334,2314,16,4802,4539,14754,3748.4595502686166,1519.8328855502502,0,0,0,0,63199,25,5,0.505592,0,0,12639.8,12356,2527.96,2701,16,4802,9814,14754,1972.875059399353,1485.779593344854,0,0,0,0,4539,5,1,0.18156,0,0,4539,4539,907.8,504,41,2253,4539,4539,,875.8858373098631,0,0,0,0,2,0.32403200000000004,0.32403200000000004,,March 2024,April 2024,,,
