SUBDIVISION,TOTAL_OCCURRENCES,TOTAL_ROUNDS,UNIQUE_PLAYERS,AVERAGE_SCORE,SCORE_STDEV
95.69051,1,130,26,2789.8846153846152,1825.4104391346557
44.26049,1,130,26,2789.8846153846152,1825.4104391346557
40.7817,1,130,26,2789.8846153846152,1825.4104391346557
40.71761,1,130,26,2789.8846153846152,1825.4104391346557
21.61172,1,130,26,2789.8846153846152,1825.4104391346557
Khövsgöl Province,1,145,29,2747.137931034483,1491.3611261398887
75.56862215215918,1,95,19,2723.4105263157894,1748.105208773725
65.50263420863494,1,95,19,2723.4105263157894,1748.105208773725
49.56183917929523,1,95,19,2723.4105263157894,1748.105208773725
47.63359381918526,1,95,19,2723.4105263157894,1748.105208773725
38.62515882627357,1,95,19,2723.4105263157894,1748.105208773725
Ludza Municipality,1,130,26,2720.7384615384617,1618.9752578232276
60.240017616694395,1,135,27,2711.659259259259,1451.3113465540357
53.21524026006795,1,135,27,2711.659259259259,1451.3113465540357
48.29524151915732,1,135,27,2711.659259259259,1451.3113465540357
35.319467308463395,1,135,27,2711.659259259259,1451.3113465540357
29.463388606079203,1,135,27,2711.659259259259,1451.3113465540357
Luhansk,1,115,23,2698.8434782608697,1703.1996875002485
82.79772392281076,1,80,16,2691.55,1753.8791570401877
65.52211905752011,1,80,16,2691.55,1753.8791570401877
42.25751531870136,1,80,16,2691.55,1753.8791570401877
29.75968677259332,1,80,16,2691.55,1753.8791570401877
106.5029768017024,1,80,16,2691.55,1753.8791570401877
Heilongjiang,1,140,28,2691.135714285714,1589.8521234500952
69.13920815757967,1,100,20,2628.43,1440.6454473950214
38.726090269580745,1,100,20,2628.43,1440.6454473950214
36.04842324227017,1,100,20,2628.43,1440.6454473950214
30.25811033117293,1,100,20,2628.43,1440.6454473950214
30.084000024350743,1,100,20,2628.43,1440.6454473950214
59.6908,1,115,23,2592.391304347826,1916.447872205479
40.972091,1,115,23,2592.391304347826,1916.447872205479
32.456508,1,115,23,2592.391304347826,1916.447872205479
129.865143,1,115,23,2592.391304347826,1916.447872205479
107.46254,1,115,23,2592.391304347826,1916.447872205479
Pavlodar Region,1,170,34,2571.5529411764705,1372.736112817218
56.85516,1,125,25,2570.72,1575.2995174251787
45.997142,1,125,25,2570.72,1575.2995174251787
43.47205,1,125,25,2570.72,1575.2995174251787
40.61354,1,125,25,2570.72,1575.2995174251787
137.075644,1,125,25,2570.72,1575.2995174251787
66.42789,1,120,24,2540.758333333333,1605.3905962715812
45.801215,1,120,24,2540.758333333333,1605.3905962715812
41.132161,1,120,24,2540.758333333333,1605.3905962715812
34.351842,1,120,24,2540.758333333333,1605.3905962715812
30.751137,1,120,24,2540.758333333333,1605.3905962715812
95.123364,1,130,26,2475.523076923077,1777.4428053781455
90.41654,1,130,26,2475.523076923077,1777.4428053781455
41.116698,1,130,26,2475.523076923077,1777.4428053781455
130.92958,1,130,26,2475.523076923077,1777.4428053781455
127.692585,1,130,26,2475.523076923077,1777.4428053781455
Selenge Province,1,105,21,2418.752380952381,1837.274014770653
92.93854480438593,1,110,22,2418.2181818181816,1846.7783367594411
31.69287260483642,1,110,22,2418.2181818181816,1846.7783367594411
30.19995150661457,1,110,22,2418.2181818181816,1846.7783367594411
114.0706848219276,1,110,22,2418.2181818181816,1846.7783367594411
106.8903656097304,1,110,22,2418.2181818181816,1846.7783367594411
59.365769,1,115,23,2252.3478260869565,1651.4578805379585
58.31603,1,115,23,2252.3478260869565,1651.4578805379585
50.42782,1,115,23,2252.3478260869565,1651.4578805379585
47.81394,1,115,23,2252.3478260869565,1651.4578805379585
142.7076,1,115,23,2252.3478260869565,1651.4578805379585
46.85352,1,85,17,2234.8823529411766,1937.9084323160166
44.47853,1,85,17,2234.8823529411766,1937.9084323160166
40.385346,1,85,17,2234.8823529411766,1937.9084323160166
29.598361,1,85,17,2234.8823529411766,1937.9084323160166
128.097635,1,85,17,2234.8823529411766,1937.9084323160166
41.16491,1,130,26,2234.423076923077,1913.994015203988
33.62873,1,130,26,2234.423076923077,1913.994015203988
142.36181,1,130,26,2234.423076923077,1913.994015203988
135.159903,1,130,26,2234.423076923077,1913.994015203988
108.97848,1,130,26,2234.423076923077,1913.994015203988
57.933841,1,125,25,2180.352,1564.76030244124
46.560627,1,125,25,2180.352,1564.76030244124
44.097262,1,125,25,2180.352,1564.76030244124
21.91112,1,125,25,2180.352,1564.76030244124
104.163758,1,125,25,2180.352,1564.76030244124
St.-Petersburg,1,125,25,2135.08,1837.9220423075622
60.7771,1,100,20,1957.78,1611.4583244998923
54.27586,1,100,20,1957.78,1611.4583244998923
39.375693,1,100,20,1957.78,1611.4583244998923
33.20674,1,100,20,1957.78,1611.4583244998923
134.88977,1,100,20,1957.78,1611.4583244998923
