PLAYER_ID,PLAYER_NAME,streak_length,start_seed_link,end_seed_link,start_test_id,start_seed_number,end_test_id,end_seed_number
5fe6c5e7ae5ccd000197c9e7,logan,1,https://www.geoguessr.com/challenge/mdOwyeDKMAS1LDMZ,https://www.geoguessr.com/challenge/mdOwyeDKMAS1LDMZ,MAY_24,4,MAY_24,4
5fe6c5e7ae5ccd000197c9e7,logan,1,https://www.geoguessr.com/challenge/kw06tCDMJGpPpo1w,https://www.geoguessr.com/challenge/kw06tCDMJGpPpo1w,MAY_24,9,MAY_24,9
5fe6c5e7ae5ccd000197c9e7,logan,1,https://www.geoguessr.com/challenge/Aj1ZxLEHiQOzYr9G,https://www.geoguessr.com/challenge/Aj1ZxLEHiQOzYr9G,MAY_24,13,MAY_24,13
5fe6c5e7ae5ccd000197c9e7,logan,1,https://www.geoguessr.com/challenge/ia8PZ0d1XK43n1bV,https://www.geoguessr.com/challenge/ia8PZ0d1XK43n1bV,MAY_24,16,MAY_24,16
5fe6c5e7ae5ccd000197c9e7,logan,2,https://www.geoguessr.com/challenge/HbBrMP1uSSIQg4DE,https://www.geoguessr.com/challenge/Noy0tZXVUYYcTmEt,MAY_24,20,NOV_24,1
5fe6c5e7ae5ccd000197c9e7,logan,1,https://www.geoguessr.com/challenge/WXs1tONE4emlmXsV,https://www.geoguessr.com/challenge/WXs1tONE4emlmXsV,NOV_24,8,NOV_24,8
5fe6c5e7ae5ccd000197c9e7,logan,1,https://www.geoguessr.com/challenge/yWS8tNrHXCrSqp6F,https://www.geoguessr.com/challenge/yWS8tNrHXCrSqp6F,NOV_24,13,NOV_24,13
5fe6c5e7ae5ccd000197c9e7,logan,2,https://www.geoguessr.com/challenge/mKp3z6bC7bkr9iWG,https://www.geoguessr.com/challenge/Vm7uyqOlbA65mxJ4,NOV_24,18,NOV_24,19
5ffb5e4975d2770001545cf5,Geooo,1,https://www.geoguessr.com/challenge/azQL6SIGmI6sijYx,https://www.geoguessr.com/challenge/azQL6SIGmI6sijYx,DEC_23,6,DEC_23,6
5ffb5e4975d2770001545cf5,Geooo,1,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,MAR_24,8,MAR_24,8
60069f898c6114000112b409,icepelican,1,https://www.geoguessr.com/challenge/ia8PZ0d1XK43n1bV,https://www.geoguessr.com/challenge/ia8PZ0d1XK43n1bV,MAY_24,16,MAY_24,16
60423e2590c952000182b4a0,Pigeon,1,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,MAR_24,3,MAR_24,3
605b1842045b9e0001837397,brunooo_ooo,1,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,MAR_24,8,MAR_24,8
605b1842045b9e0001837397,brunooo_ooo,1,https://www.geoguessr.com/challenge/K9RglrVMJgEVgnwb,https://www.geoguessr.com/challenge/K9RglrVMJgEVgnwb,MAR_24,19,MAR_24,19
60806a19bafa9b000125bcc7,malfunctionn,1,https://www.geoguessr.com/challenge/Aj1ZxLEHiQOzYr9G,https://www.geoguessr.com/challenge/Aj1ZxLEHiQOzYr9G,MAY_24,13,MAY_24,13
60859c21128efc0001559603,antidotess,1,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,MAR_24,3,MAR_24,3
60859c21128efc0001559603,antidotess,1,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,MAR_24,8,MAR_24,8
60859c21128efc0001559603,antidotess,1,https://www.geoguessr.com/challenge/4AJEkIcOQCXOZBd3,https://www.geoguessr.com/challenge/4AJEkIcOQCXOZBd3,MAR_24,13,MAR_24,13
61f63ef33d94a3000139614d,クリプトナイト,1,https://www.geoguessr.com/challenge/BsUyXDkqN9NJlqS3,https://www.geoguessr.com/challenge/BsUyXDkqN9NJlqS3,DEC_23,7,DEC_23,7
61f63ef33d94a3000139614d,クリプトナイト,1,https://www.geoguessr.com/challenge/LCEvynboLXjOyucC,https://www.geoguessr.com/challenge/LCEvynboLXjOyucC,DEC_23,18,DEC_23,18
