PLAYER_ID,PLAYER_NAME,TOTAL_SCORE,ROUNDS_PLAYED,GAMES_PLAYED,ACCURACY,HIGHEST_HEDGE_STREAK,AVERAGE_HEDGE_STREAK
60423e2590c952000182b4a0,Pigeon,1442208,430,86,0.6707944186046512,1,1
6053be97302f9500010c3c4c,marcel,33434,20,4,0.33434,0,0
6056fd798ddd1c00018baf23,Trabota,1662736,450,90,0.7389937777777777,3,1.32
605b1842045b9e0001837397,brunooo_ooo,2401868,800,160,0.600467,2,1.1
6060aef763c4b80001aae836,Jasper,373433,195,39,0.3830082051282051,0,0
6061d595010c4e000197240f,bakonysanchez,77891,40,8,0.389455,0,0
606402814f3a8e00016f860e,Dyll,104000,50,10,0.416,0,0
606a0edba9cfc800017a0f46,S Ricciardi,54332,25,5,0.434656,0,0
607334e1fec6f00001f676a2,hoki,45804,20,4,0.45804,0,0
60806a19bafa9b000125bcc7,malfunctionn,542803,220,44,0.49345727272727274,0,0
608168d3f5fe530001aec797,kaiser,838548,530,106,0.3164332075471698,0,0
60859c21128efc0001559603,antidotess,313924,100,20,0.627848,1,1
6098f58ffac408000119da5a,Cassa,589970,430,86,0.2744046511627907,0,0
60995f8f8eb3fe0001e057c2,Starc,440704,175,35,0.5036617142857143,1,1
60a55176895a250001d9e2d8,emshanoff,1755586,470,94,0.7470578723404255,4,1.94
60ab9a9195cb750001fb3b69,stepanartt,164440,60,12,0.5481333333333334,1,1
60b1162519261200015e3ca2,John Harvey Kellogg,32542,10,2,0.65084,0,0
60c5dcc9dcd637000191fd5d,VishTheFish,20699,15,3,0.27598666666666666,0,0
60df18727b07ec0001e05ece,r1czz.,216941,60,12,0.7231366666666666,2,1.5
61086058ec9b5100017947a0,Алексей Ремизов,15575,10,2,0.3115,0,0
611760155078c2000158aa4b,Thiscooldude,8409,5,1,0.33636,0,0
612fc1ddd0cf470001098a99,Tanger#0350,652705,255,51,0.5119254901960785,1,1
6140b47f0a3a920001f0031e,Blueb,701478,250,50,0.5611824,0,0
615c32f565de950001753a64,lemon,17069,5,1,0.68276,0,0
61a0aa0b508e25000188294f,Ant3k,822277,245,49,0.6712465306122449,2,1.5
61b7147bdce769000130e3f5,Sasha-Larin-11,18005,10,2,0.3601,0,0
61e59e86ccc0f20001d33f9f,Lysol55,51952,20,4,0.51952,0,0
61f63ef33d94a3000139614d,クリプトナイト,291936,120,24,0.48656,1,1
6201965f19c16500017cd2ce,アキナトル,3392684,875,175,0.7754706285714286,8,2.08
6208f41304f54b000118a55d,Richárd Varszámisz,7101,5,1,0.28404,0,0
62097f1950ff4f0001cdc748,PyloteD'Avion,8552,10,2,0.17104,0,0
621688225a265e000124cc8d,GramenMystace,462804,175,35,0.5289188571428571,0,0
621b46db2c23f10001ee1c89,wasqux,12310,5,1,0.4924,0,0
622d5637fbf42a00013d06b1,flickshot,187442,65,13,0.5767446153846154,0,0
62501808475510c8f5f4ef79,Tom,310216,100,20,0.620432,1,1
62615ba79810147e10f029ea,𝓝𝓲𝓰𝓱𝓽𝓰𝓸𝓭,54666,20,4,0.54666,0,0
626be1db347a090f4e84683f,VehicleRonald,859831,240,48,0.7165258333333333,3,1.38
62942d7b391564acaee575be,kazuro,539710,200,40,0.53971,1,1
62ab7d3b8c54d1371af90469,Levente Peter Kerekes,4624,5,1,0.18496,0,0
62b884829f15e161b90a1484,Leqitnyy,7767,5,1,0.31068,0,0
62bfd10dea6140a9ef5f3224,Program,440503,155,31,0.5683909677419355,1,1
62c0257a2e7b083b8fb3ffdf,yark,2428507,685,137,0.7090531386861314,2,1.17
62d17b25f827cbfd7205c25d,deshawn,415020,120,24,0.6917,5,2
62e14841f938d5507c4d31f6,Jerome,173107,65,13,0.5326369230769231,0,0
62f0c9a9822a3f816d659d84,Adams,635703,210,42,0.6054314285714286,1,1
631092b3f84123ad62736883,LaziiQQ БОГ,12626,5,1,0.50504,0,0
631d3543233913017a7ac6c6,nitro,156836,55,11,0.5703127272727273,1,1
632cb7c86205b55bcde7dcb7,y4suo,99358,30,6,0.6623866666666667,1,1
6330202c43032ef573d382eb,Jakob,292892,100,20,0.585784,1,1
633102d69d4a5044970cce21,Elcu,297187,110,22,0.54034,1,1
633a62ba560e8238dea97807,leero,109567,30,6,0.7304466666666667,1,1
635977bdd10c8c644ca83400,GeoWill,287215,110,22,0.522209090909091,0,0
63690b69ab60ef1b425b53d1,MagicMath,84336,45,9,0.37482666666666664,0,0
6376f2fd270414a1000e1fbf,bobasucker,1842761,600,120,0.6142536666666667,2,1.1
63a22a8691767b2f0499937c,geopotato,254508,105,21,0.48477714285714285,1,1
63a7162c482f8304763e75c3,Dynya,7473,5,1,0.29892,0,0
63b6e8ccb8148b72cafa0adb,KZT,3560388,945,189,0.7535212698412699,7,1.91
63bc59f483352dc1648f8e9a,nevergiveup.,185585,45,9,0.8248222222222222,3,2
63cffe929512ebc734808b0b,Rylleon,1279886,395,79,0.6480435443037975,2,1.14
63dbf173192ea6602ebbe3e2,DreDay,5589,5,1,0.22356,0,0
63e223415109acb72e8c3318,GabrielGeoo,2742781,910,182,0.602809010989011,2,1.2
64007150a74fcc57ff691bea,mostiqq,12615,5,1,0.5046,0,0
6407f630fd61426c650d8579,jkwon,1204003,480,96,0.5016679166666667,1,1
6416cf85c84b14719efada74,Krisons,28008,20,4,0.28008,0,0
