PLAYER_ID,PLAYER_NAME,ROUNDS_PLAYED,ADJ_TOTAL_SCORE,ADJ_PLAYED,ADJ_ACCURACY,ADJ_NM_SCORE,ADJ_NM_PLAYED,ADJ_NM_ACCURACY,ADJ_NMPZ_SCORE,ADJ_NMPZ_PLAYED,ADJ_NMPZ_ACCURACY
5fe6c5e7ae5ccd000197c9e7,logan,1610,21951164,1087,0.807621927888153,16825564,820,0.8199592592592593,5125600,266,0.7696096096096096
5ff0a98c0c42b3000156c799,Alexeycraggy,210,1190070,75,,1190070,75,,,0,
5ff10c165de5560001f37f9d,vaivod,60,359820,25,,359820,25,,,0,
5ff879f9ce04930001f6ee64,Firma,115,593384,41,,593384,41,,,0,
5ffa660ae8ee080001350d46,AlphaZero4000,135,1261664,97,,476912,36,,784752,61,
5ffb5e4975d2770001545cf5,Geooo,745,8064884,464,,5056740,284,,3008144,180,0.6684764444444444
60069f898c6114000112b409,icepelican,1000,8019440,648,0.49502716049382717,5408660,432,0.5008018518518519,2610780,216,0.4834777777777778
600801c48b224300016f36fd,Mada,80,901864,58,,297492,18,,604372,40,
6016ae33d48bd30001e71782,[TNT] Diablo,50,626308,36,,331628,18,,294680,18,
601ab5166d405900012c6669,Matteo Kinkela,100,300604,36,,300604,36,,,0,
601f1d75228a5e00019741e1,davedavedave,735,7005632,457,,5160196,316,,1845436,140,0.5242715909090909
602004f5fe36ae000125a538,Michiel,10,,0,,,0,,,0,
602099d9d7d2210001491973,Bog,5,8220,2,,,0,,8220,2,
60254c17b8832e000134884b,jason543,160,835948,57,,835948,57,,,0,
602c2727cf4011000175b4ee,morica,305,2990752,220,,2425684,172,,565068,47,
603b1b0d5cdb1b0001bbf19e,Moo,5,41644,2,,41644,2,,,0,
603cd68ed3dc740001d9dc4b,devens,55,270330,20,,270330,20,,,0,
603e28ef0297940001b93db1,fatslump(washed),25,140238,9,,140238,9,,,0,
603ea83990c952000180974c,TabBluu.,205,1345468,76,,1345468,76,,,0,
60423e2590c952000182b4a0,Pigeon,710,7778232,439,,5703436,309,,2074796,129,0.6403691358024691
6053be97302f9500010c3c4c,marcel,20,66448,7,,66448,7,,,0,
6056fd798ddd1c00018baf23,Trabota,450,3260662,162,0.8051017283950618,3260662,162,0.8051017283950618,,0,
605b1842045b9e0001837397,brunooo_ooo,1165,12580624,784,0.6412142711518858,9553044,576,0.6634058333333334,3027580,208,0.5799961685823755
6060aef763c4b80001aae836,Jasper,195,746588,70,,746588,70,,,0,
6061d595010c4e000197240f,bakonysanchez,40,155578,14,,155578,14,,,0,
606402814f3a8e00016f860e,Dyll,50,207316,18,,207316,18,,,0,
606a0edba9cfc800017a0f46,S Ricciardi,25,108660,9,,108660,9,,,0,
607334e1fec6f00001f676a2,hoki,20,90516,7,,90516,7,,,0,
60806a19bafa9b000125bcc7,malfunctionn,320,3156156,230,,2163088,158,,993068,72,
608168d3f5fe530001aec797,kaiser,725,4661792,522,,3352088,381,,1309704,140,
608513f3eb35e60001fa2633,cry about it,15,86892,5,,,0,,86892,5,
60859c21128efc0001559603,antidotess,300,3420900,216,,1250000,72,,2170900,144,
6098f58ffac408000119da5a,Cassa,530,2948416,381,,2359124,309,,589292,72,
60995f8f8eb3fe0001e057c2,Starc,185,1842392,133,,1759112,126,,83280,7,
60a55176895a250001d9e2d8,emshanoff,480,7005440,345,,6887248,338,,118192,7,
60ab9a9195cb750001fb3b69,stepanartt,85,952008,61,,652592,43,,299416,18,
60b1162519261200015e3ca2,John Harvey Kellogg,35,436272,25,,127028,7,,309244,18,
60bcbc7bf9c48d00010901f5,Abyss,5,17934,2,,,0,,17934,2,
60c5dcc9dcd637000191fd5d,VishTheFish,15,41250,5,,41250,5,,,0,
60df18727b07ec0001e05ece,r1czz.,60,416508,21,,416508,21,,,0,
60e6fefd864e960001667155,ĐɄ§ҜƦØИ,100,472338,36,,,0,,472338,36,
61086058ec9b5100017947a0,Алексей Ремизов,10,30956,3,,30956,3,,,0,
611760155078c2000158aa4b,Thiscooldude,5,16818,2,,16818,2,,,0,
612fc1ddd0cf470001098a99,Tanger#0350,255,1297488,92,,1297488,92,,,0,
613672d814c06f00017c58e0,tombolo,95,488730,34,,,0,,488730,34,
6140b47f0a3a920001f0031e,Blueb,300,3177912,216,,2797584,180,,380328,36,
615c32f565de950001753a64,lemon,5,34138,2,,34138,2,,,0,
61a0aa0b508e25000188294f,Ant3k,390,5013888,281,,3229132,176,,1784756,104,
61b7147bdce769000130e3f5,Sasha-Larin-11,10,35990,3,,35990,3,,,0,
61bc94ddf786cb0001188493,hulosit,5,,0,,,0,,,0,
61e59e86ccc0f20001d33f9f,Lysol55,20,103778,7,,103778,7,,,0,
61f63ef33d94a3000139614d,クリプトナイト,220,2311460,158,,1164552,86,,1146908,72,
6201965f19c16500017cd2ce,アキナトル,1210,16598972,800,0.8299486,13226976,630,0.8392751269035533,3371996,169,0.7952820754716982
6205a2c750ff4f0001cbded7,Kround7159,5,8284,2,,,0,,8284,2,
6208f41304f54b000118a55d,Richárd Varszámisz,5,14202,2,,14202,2,,,0,
62097f1950ff4f0001cdc748,PyloteD'Avion,15,48844,11,,34196,7,,14648,4,
621688225a265e000124cc8d,GramenMystace,175,920690,63,,920690,63,,,0,
621b46db2c23f10001ee1c89,wasqux,5,24620,2,,24620,2,,,0,
621be89f6fac5b00015323af,Jay,100,563302,36,,,0,,563302,36,
622d5637fbf42a00013d06b1,flickshot,65,373948,23,,373948,23,,,0,
62406cc08e526ee865417483,kingbest,5,,0,,,0,,,0,
62501808475510c8f5f4ef79,Tom,200,2155336,144,,1214868,72,,940468,72,
62615ba79810147e10f029ea,𝓝𝓲𝓰𝓱𝓽𝓰𝓸𝓭,25,239532,18,,218556,14,,20976,4,
626be1db347a090f4e84683f,VehicleRonald,250,3395456,172,,3395456,172,,,0,
62942d7b391564acaee575be,kazuro,205,2223568,148,,2148928,144,,74640,4,
62ab7d3b8c54d1371af90469,Levente Peter Kerekes,5,9248,2,,9248,2,,,0,
62b884829f15e161b90a1484,Leqitnyy,5,15534,2,,15534,2,,,0,
62bfd10dea6140a9ef5f3224,Program,355,3859084,256,,1755556,112,,2103528,144,
62c0257a2e7b083b8fb3ffdf,yark,1030,12654164,670,0.7550217183770883,9584636,493,0.7767128038897892,3069528,176,0.6944633484162895
62d17b25f827cbfd7205c25d,deshawn,220,2900080,158,,1643664,86,,1256416,72,
62e14841f938d5507c4d31f6,Jerome,65,343478,23,,343478,23,,,0,
62e7791e257a6510556a1a03,Bokai𝋢𝋯𝋫𝋡𝋩,10,43876,3,,,0,,43876,3,
62f0c9a9822a3f816d659d84,Adams,220,2555532,155,,2525196,151,,30336,4,
630573823711f63b552ebc4d,Nobody731,45,200714,16,,,0,,200714,16,
631092b3f84123ad62736883,LaziiQQ БОГ,5,25252,2,,25252,2,,,0,
631d3543233913017a7ac6c6,nitro,55,311446,20,,311446,20,,,0,
632cb7c86205b55bcde7dcb7,y4suo,30,193794,10,,193794,10,,,0,
6330202c43032ef573d382eb,Jakob,100,579740,36,,579740,36,,,0,
633102d69d4a5044970cce21,Elcu,145,1524868,104,,1180068,79,,344800,25,
633a62ba560e8238dea97807,leero,30,210212,10,,210212,10,,,0,
635977bdd10c8c644ca83400,GeoWill,110,573036,39,,573036,39,,,0,
63690b69ab60ef1b425b53d1,MagicMath,45,168436,16,,168436,16,,,0,
6376f2fd270414a1000e1fbf,bobasucker,1000,10417564,648,0.6430595061728395,7337228,432,0.679372962962963,3080336,216,0.5704325925925926
63890678411c174863e40d57,GeoTeacher,40,246674,14,,,0,,246674,14,
63a22a8691767b2f0499937c,geopotato,185,1563652,130,,1016384,76,,547268,54,
