PLAYER_ID,PLAYER_NAME,GAMES_PLAYED,GAMES_AVG_SCORE,GAMES_MED_SCORE
60ab9a9195cb750001fb3b69,stepanartt,17,14082.29411764706,14160
60b1162519261200015e3ca2,John Harvey Kellogg,7,15838,15982
60bcbc7bf9c48d00010901f5,Abyss,1,8967,8967
60c5dcc9dcd637000191fd5d,VishTheFish,3,6899.666666666667,7077
60df18727b07ec0001e05ece,r1czz.,12,18078.416666666668,17417.5
60e6fefd864e960001667155,ĐɄ§ҜƦØИ,20,11903.55,11378.5
612fc1ddd0cf470001098a99,Tanger#0350,51,12798.137254901962,12959
613672d814c06f00017c58e0,tombolo,20,12432.45,13587.5
6140b47f0a3a920001f0031e,Blueb,3,13604.333333333334,12445
615c32f565de950001753a64,lemon,1,17069,17069
61a0aa0b508e25000188294f,Ant3k,78,16301.358974358975,16647
61e59e86ccc0f20001d33f9f,Lysol55,4,12988,12521
61f63ef33d94a3000139614d,クリプトナイト,44,13200.09090909091,13085
6201965f19c16500017cd2ce,アキナトル,195,19180.77435897436,19594
6205a2c750ff4f0001cbded7,Kround7159,1,4142,4142
6208f41304f54b000118a55d,Richárd Varszámisz,1,7101,7101
62097f1950ff4f0001cdc748,PyloteD'Avion,3,4071.3333333333335,3662
621688225a265e000124cc8d,GramenMystace,30,13207.5,14043
622d5637fbf42a00013d06b1,flickshot,13,14418.615384615385,14129
62501808475510c8f5f4ef79,Tom,40,13640.425,14231.5
62615ba79810147e10f029ea,𝓝𝓲𝓰𝓱𝓽𝓰𝓸𝓭,5,11982,12641
626be1db347a090f4e84683f,VehicleRonald,48,17913.145833333332,18287
62942d7b391564acaee575be,kazuro,40,13492.75,13662.5
62ab7d3b8c54d1371af90469,Levente Peter Kerekes,1,4624,4624
62bfd10dea6140a9ef5f3224,Program,71,13636.94366197183,13562
62c0257a2e7b083b8fb3ffdf,yark,122,17010.491803278688,17286.5
62d17b25f827cbfd7205c25d,deshawn,44,16626.68181818182,16174
62e14841f938d5507c4d31f6,Jerome,13,13315.923076923076,13651
62e7791e257a6510556a1a03,Bokai𝋢𝋯𝋫𝋡𝋩,2,10997.5,10997.5
62f0c9a9822a3f816d659d84,Adams,23,14051.260869565218,13448
631092b3f84123ad62736883,LaziiQQ БОГ,1,12626,12626
631d3543233913017a7ac6c6,nitro,11,14257.818181818182,14202
632cb7c86205b55bcde7dcb7,y4suo,6,16559.666666666668,16718
6330202c43032ef573d382eb,Jakob,20,14644.6,14554.5
633102d69d4a5044970cce21,Elcu,29,13225.068965517241,13989
633a62ba560e8238dea97807,leero,6,18261.166666666668,18236
6376f2fd270414a1000e1fbf,bobasucker,120,14327.275,14626
63890678411c174863e40d57,GeoTeacher,8,15498.625,16387
63b6e8ccb8148b72cafa0adb,KZT,229,18070.890829694323,18860
63bc59f483352dc1648f8e9a,nevergiveup.,20,18236.75,17748
63bcd8027039017494d42999,KANMURU,2,10200,10200
63cffe929512ebc734808b0b,Rylleon,119,15452.806722689076,15980
63e223415109acb72e8c3318,GabrielGeoo,210,14450.27619047619,14159.5
64007150a74fcc57ff691bea,mostiqq,1,12615,12615
6407f630fd61426c650d8579,jkwon,133,12053.218045112782,11884
64179ee2585e69f92ec514fc,ｺｺｽ,20,15765.05,15234
6420e452357e1c2d41c78157,angjusevi,30,14517.6,13893.5
642548987a0ec1cc8ffe5698,insomnia (5kftw),1,7816,7816
64302511da72523ce5182c88,[Geo] Scooby Poo,7,3769.714285714286,3720
6458e4b2ea1e908b38f447e4,LedOooo,1,6277,6277
6460e8bfec20ce42ae0b90bb,Spirit Donk,16,15669.0625,16954
64899fdf6552c09cf38d9d8e,豆豆冖,132,16170.128787878788,16598
6494f9bbab07ca3ea843220f,Kakaageo,1,15734,15734
64b2b2afd22a6256877948e5,constella,2,6486,6486
64e250e234185dd27cfb93a5,bomboclatt69,5,8631.6,9281
64ed17355f2bccc9d751cce4,Novoosibirsk,21,15333.47619047619,15355
65196df73b287bbf7203f3f7,frey44,1,9943,9943
65699a3d8312d2834b4eed93,Elements,71,12128.070422535211,11846
657136033b7d1f7babadbed4,SnowyMarsh339,13,6106.923076923077,6161
65a45a24590a680e4a85cc05,TropicalHill119,15,13753.733333333334,14983
662d0189162adfc26f7751ac,Looks Like Something I Luzon,22,13131.045454545454,13487
6632b168b565bbebc7049335,Codys390,1,5591,5591
667835c22462ec60ea631124,SkyLimit,5,8916,9974
