PLAYER_ID,PLAYER_NAME,ROUNDS_PLAYED,ADJ_TOTAL_SCORE,ADJ_PLAYED,ADJ_ACCURACY
606402814f3a8e00016f860e,Dyll,50,103658,45,0.46070222222222224
606a0edba9cfc800017a0f46,S Ricciardi,25,54330,23,0.47243478260869565
607334e1fec6f00001f676a2,hoki,20,45258,18,0.5028666666666667
60806a19bafa9b000125bcc7,malfunctionn,320,789107,288,0.5479909722222223
608168d3f5fe530001aec797,kaiser,735,1177105,662,0.35562084592145016
608513f3eb35e60001fa2633,cry about it,15,43446,14,0.6206571428571429
60859c21128efc0001559603,antidotess,300,855473,270,0.6336837037037037
6098f58ffac408000119da5a,Cassa,535,742862,482,0.30824149377593363
60995f8f8eb3fe0001e057c2,Starc,185,451322,167,0.5405053892215569
60a55176895a250001d9e2d8,emshanoff,480,1753211,432,0.8116717592592593
60ab9a9195cb750001fb3b69,stepanartt,85,238695,77,0.619987012987013
60b1162519261200015e3ca2,John Harvey Kellogg,35,109068,32,0.681675
60bcbc7bf9c48d00010901f5,Abyss,5,8967,5,0.35868
60c5dcc9dcd637000191fd5d,VishTheFish,15,20625,14,0.29464285714285715
60df18727b07ec0001e05ece,r1czz.,60,208254,54,0.7713111111111111
60e6fefd864e960001667155,ĐɄ§ҜƦØИ,100,236169,90,0.52482
612fc1ddd0cf470001098a99,Tanger#0350,255,648744,230,0.5641252173913044
613672d814c06f00017c58e0,tombolo,100,248186,90,0.5515244444444445
6140b47f0a3a920001f0031e,Blueb,15,40809,14,0.5829857142857143
615c32f565de950001753a64,lemon,5,17069,5,0.68276
61a0aa0b508e25000188294f,Ant3k,390,1253542,351,0.7142689458689458
61e59e86ccc0f20001d33f9f,Lysol55,20,51889,18,0.5765444444444444
61f63ef33d94a3000139614d,クリプトナイト,220,578460,198,0.5843030303030303
6201965f19c16500017cd2ce,アキナトル,975,3652511,878,0.8320070615034169
6205a2c750ff4f0001cbded7,Kround7159,5,4142,5,0.16568
6208f41304f54b000118a55d,Richárd Varszámisz,5,7101,5,0.28404
62097f1950ff4f0001cdc748,PyloteD'Avion,15,12211,14,0.17444285714285715
621688225a265e000124cc8d,GramenMystace,150,394715,135,0.5847629629629629
622d5637fbf42a00013d06b1,flickshot,65,186974,59,0.6338101694915255
62501808475510c8f5f4ef79,Tom,200,543104,180,0.6034488888888889
62615ba79810147e10f029ea,𝓝𝓲𝓰𝓱𝓽𝓰𝓸𝓭,25,59885,23,0.5207391304347826
626be1db347a090f4e84683f,VehicleRonald,240,848864,216,0.7859851851851852
62942d7b391564acaee575be,kazuro,200,537232,180,0.5969244444444445
62ab7d3b8c54d1371af90469,Levente Peter Kerekes,5,4624,5,0.18496
62bfd10dea6140a9ef5f3224,Program,355,964771,320,0.602981875
62c0257a2e7b083b8fb3ffdf,yark,610,2049457,549,0.7466145719489982
62d17b25f827cbfd7205c25d,deshawn,220,725020,198,0.7323434343434343
62e14841f938d5507c4d31f6,Jerome,65,171739,59,0.5821661016949152
62e7791e257a6510556a1a03,Bokai𝋢𝋯𝋫𝋡𝋩,10,21938,9,0.4875111111111111
62f0c9a9822a3f816d659d84,Adams,115,321479,104,0.6182288461538461
631092b3f84123ad62736883,LaziiQQ БОГ,5,12626,5,0.50504
631d3543233913017a7ac6c6,nitro,55,155723,50,0.622892
632cb7c86205b55bcde7dcb7,y4suo,30,96897,27,0.7177555555555556
6330202c43032ef573d382eb,Jakob,100,289870,90,0.6441555555555556
633102d69d4a5044970cce21,Elcu,145,381623,131,0.5826305343511451
633a62ba560e8238dea97807,leero,30,105106,27,0.778562962962963
6376f2fd270414a1000e1fbf,bobasucker,600,1714538,540,0.6350140740740741
63890678411c174863e40d57,GeoTeacher,40,123337,36,0.6852055555555555
63b6e8ccb8148b72cafa0adb,KZT,1145,4099390,1031,0.7952259941804074
63bc59f483352dc1648f8e9a,nevergiveup.,100,362899,90,0.8064422222222222
63bcd8027039017494d42999,KANMURU,10,20400,9,0.4533333333333333
63cffe929512ebc734808b0b,Rylleon,595,1828287,536,0.6821966417910448
63e223415109acb72e8c3318,GabrielGeoo,1050,3024008,945,0.6400016931216931
64007150a74fcc57ff691bea,mostiqq,5,12615,5,0.5046
6407f630fd61426c650d8579,jkwon,665,1599975,599,0.5342153589315526
64179ee2585e69f92ec514fc,ｺｺｽ,100,312734,90,0.6949644444444445
6420e452357e1c2d41c78157,angjusevi,150,432389,135,0.6405762962962963
642548987a0ec1cc8ffe5698,insomnia (5kftw),5,7816,5,0.31264
64302511da72523ce5182c88,[Geo] Scooby Poo,35,26383,32,0.16489375
6458e4b2ea1e908b38f447e4,LedOooo,5,6277,5,0.25108
6460e8bfec20ce42ae0b90bb,Spirit Donk,80,248685,72,0.6907916666666667
64899fdf6552c09cf38d9d8e,豆豆冖,660,2122519,594,0.7146528619528619
6494f9bbab07ca3ea843220f,Kakaageo,5,15734,5,0.62936
64b2b2afd22a6256877948e5,constella,10,12951,9,0.2878
64e250e234185dd27cfb93a5,bomboclatt69,25,43155,23,0.37526086956521737
64ed17355f2bccc9d751cce4,Novoosibirsk,105,319169,95,0.6719347368421053
65196df73b287bbf7203f3f7,frey44,5,9943,5,0.39772
65699a3d8312d2834b4eed93,Elements,355,859863,320,0.537414375
657136033b7d1f7babadbed4,SnowyMarsh339,65,79360,59,0.2690169491525424
65a45a24590a680e4a85cc05,TropicalHill119,75,204006,68,0.6000176470588235
662d0189162adfc26f7751ac,Looks Like Something I Luzon,110,288167,99,0.5821555555555555
6632b168b565bbebc7049335,Codys390,5,5591,5,0.22364
667835c22462ec60ea631124,SkyLimit,25,44468,23,0.3866782608695652
